name,mean,std,min,max,kurtosis,skewness,median
"wind_data_34.25,124_C",6.92230439166017,3.3570353202231122,0.566900898716808,16.0886394630022,-0.3882392207566352,0.4289020899453325,6.62155600353775
"wind_data_34.25,125.25_C",6.91143289613032,3.490225046962027,0.527277178564268,16.1057489073881,-0.5641080889191059,0.29876950313500833,6.62555043123959
"wind_data_34.25,125.5_C",6.877564348287425,3.491479755825982,0.382883749444969,16.1546577615877,-0.567977235987212,0.2805238024274513,6.5942142534774995
"wind_data_34.25,125.75_C",6.916913766692068,3.490406706219358,0.263724030958593,16.2221559946713,-0.5554667126062429,0.2630134734442152,6.650617156196249
"wind_data_34.25,125_C",6.92689380609752,3.4757086764268643,0.465737237129204,15.9415660376878,-0.5472230846920363,0.3111032362680831,6.677346612244365
"wind_data_34.25,126.25_C",6.817448578214146,3.399395092710541,0.33237677382826,16.4897408545779,-0.2829635346510817,0.38366502758873244,6.507520479718595
"wind_data_34.25,126.5_C",6.347192435412927,3.1642686519344094,0.476499025399034,15.3831810792615,-0.13185222099324045,0.45237061971861087,6.14123313549262
"wind_data_34.25,126_C",7.019991152947808,3.5076104650766378,0.175800544053072,16.7173586716624,-0.44689823095048054,0.29871964860333505,6.79503458344314
"wind_data_34.5,123.5_C",6.830676191319327,3.3175567477567385,0.244146496685225,16.3514288162226,-0.23417150172653756,0.5070492908711408,6.55384612223121
"wind_data_34.5,123.75_C",6.848766563018696,3.327720940089647,0.366887310495384,15.9596036893035,-0.286774862358921,0.4887014011854529,6.505159226138015
"wind_data_34.5,124.25_C",6.837491083885992,3.4123296092318167,0.336338819687341,15.72797330012,-0.41196653727772015,0.3991593880461149,6.587010429117274
"wind_data_34.5,124.5_C",6.817199669791229,3.439285868404432,0.266310964768555,15.6370529290606,-0.45311605927706466,0.3684862846645324,6.54938384163131
"wind_data_34.5,124.75_C",6.784380424800514,3.4556572604875364,0.150505967614412,15.8086756927953,-0.47111495714112195,0.34862556797057803,6.46851914443532
