latitude,longitude,TVD_FT,MD_FT,OilGravity_API,3MonthProd,6MonthProd,9MonthProd,12MonthProd,36MonthProd,FirstProdYear
28.911766,-97.677017,13630,17081.0,56.0,73422.0,116147.0,143573.0,162016.0,236573.0,2017.0
28.080121,-99.66227,9342,18897.0,61.0,117880.0,191964.0,241032.0,279382.0,417067.0,2018.0
28.303443,-98.932938,11184,16414.0,62.0,160380.0,263466.0,342039.0,403935.0,598972.0,2017.0
28.870893,-97.733375,13434,19443.0,57.0,128350.0,203339.0,248597.0,274762.0,377277.0,2018.0
28.320983,-98.831906,11374,17790.0,54.0,57659.0,116878.0,149636.0,176122.0,284161.0,2018.0
28.194949,-99.531346,9540,15164.0,56.0,52946.0,100762.0,131669.0,155665.0,245466.0,2018.0
28.274264,-99.795436,7887,13617.0,56.0,30563.0,45663.0,55574.0,62329.0,99614.0,2018.0
28.061466,-99.934505,7600,17834.0,63.0,7200.0,10721.0,13047.0,14303.0,30289.0,2018.0
28.061397,-99.93459,7373,17616.0,55.0,43801.0,74707.0,93970.0,112674.0,233069.0,2018.0
28.260384,-99.710213,8301,14220.0,59.0,21988.0,36589.0,63426.0,100453.0,211197.0,2010.0
28.240722,-99.252472,10031,16981.0,62.0,57739.0,89672.0,116097.0,139553.0,224727.0,2012.0
28.274616,-98.961963,10999,17738.0,56.0,78754.0,141748.0,178761.0,225296.0,582331.0,2010.0
28.141921,-99.780487,8317,13190.0,64.0,44062.0,74765.0,103028.0,122714.0,219041.0,2014.0
28.224352,-99.656574,8101,14222.0,54.0,32161.0,62110.0,87674.0,110383.0,213970.0,2016.0
28.672474,-98.093124,12125,17487.0,65.0,79121.0,152800.0,209348.0,248595.0,410348.0,2016.0
28.269794,-99.368614,9308,15459.0,52.0,29848.0,59668.0,83325.0,99673.0,171169.0,2013.0
28.323245,-99.83072,7373,12267.0,58.0,15131.0,29151.0,41665.0,50614.0,96610.0,2013.0
28.252264,-99.675131,8096,14176.0,57.0,37584.0,52253.0,65802.0,75316.0,144291.0,2012.0
28.203097,-99.713434,8379,13273.0,65.0,34521.0,62797.0,84152.0,101521.0,174818.0,2013.0
28.305049,-99.782863,8001,15345.0,59.0,10807.0,28075.0,69602.0,113082.0,248937.0,2012.0
28.068668,-99.993274,7034,12538.0,64.0,21443.0,55970.0,81281.0,102711.0,211295.0,2010.0
28.160125,-99.733156,8327,13793.0,58.0,99998.0,178635.0,246952.0,301027.0,474898.0,2017.0
28.198373,-99.512382,9424,15357.0,58.0,85211.0,175330.0,231465.0,269840.0,409225.0,2016.0
28.250979,-99.714499,8189,11850.0,66.0,16442.0,35740.0,45564.0,67525.0,145633.0,2012.0
29.160237,-97.382386,13798,19165.0,60.0,75738.0,134048.0,172004.0,198036.0,286642.0,2011.0
28.073368,-99.787947,8434,14251.0,64.0,60452.0,128960.0,160806.0,188295.0,416538.0,2014.0
28.735562,-97.972982,12625,17708.0,61.0,59287.0,107661.0,145124.0,175379.0,295795.0,2013.0
